City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Kawalu,ID,73.31,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
574,Moerai,PF,79.9,light rain,-22.4333,-151.3333,Le Manotel
583,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
584,La Palma,US,79.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
585,Bull Savanna,JM,79.86,clear sky,17.8868,-77.5902,Big Red's
586,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
588,Isabela,PH,77.83,light rain,6.7085,121.9711,Isawad Resort
593,Calderitas,MX,78.91,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
594,Itacoatiara,BR,82.02,heavy intensity rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
598,Lodja,CD,71.37,light rain,-3.4833,23.4333,
599,Sibolga,ID,75.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
600,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
604,Rocha,UY,71.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
607,Bozoum,CF,73.89,clear sky,6.3193,16.3799,
610,Taoudenni,ML,74.12,broken clouds,22.6783,-3.9836,
613,Esmeraldas,BR,76.06,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
614,Itapirapua,BR,85.55,broken clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
617,Chapada Dos Guimaraes,BR,76.51,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
618,Lafiagi,NG,86.74,clear sky,8.8667,5.4167,Bus group international
625,Pitimbu,BR,82.78,few clouds,-7.4706,-34.8086,Reserva do Abiaí
630,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
631,Nelson Bay,AU,71.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
633,Kourou,GF,82.11,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
635,Phan Thiet,VN,73.53,overcast clouds,10.9333,108.1,Hotel Saigon-PT
642,Champasak,LA,74.23,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
645,Gizo,SB,83.03,overcast clouds,-8.103,156.8419,Imagination Island
650,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
663,Mercedes,AR,73.78,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
664,Salinopolis,BR,79.2,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
668,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
671,Saquarema,BR,87.82,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
672,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
676,Muriti,TZ,73.02,scattered clouds,-1.9833,32.9167,
680,Pangoa,PE,79.0,overcast clouds,-12.1167,-73.0,
682,Bandarbeyla,SO,75.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
683,Sikasso,ML,83.84,clear sky,10.9167,-7.0,
684,Iralaya,HN,81.12,clear sky,15.0,-83.2333,Iglesia morava renovada
686,Nuyo,PH,74.77,broken clouds,7.4181,124.4108,
698,Coihaique,CL,82.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
699,Manuk Mangkaw,PH,80.31,scattered clouds,4.8,119.85,
703,Buala,SB,80.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
704,Clarence Town,AU,70.86,few clouds,-32.5833,151.7833,River Downs Cottage
708,Mudon,MM,73.89,overcast clouds,16.2578,97.7164,Motel Mudon
715,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,
